player_name,position_abbreviation,rank,team
Drake London,WR,1,ATL
KhaDarel Hodge,WR,4,ATL
DJ Chark Jr.,WR,7,ATL
Chris Blair,WR,10,ATL
Quincy Skinner Jr.,WR,13,ATL
Darnell Mooney,WR,2,ATL
Casey Washington,WR,5,ATL
David Sills V,WR,8,ATL
Nick Nash,WR,11,ATL
Ray-Ray McCloud III,WR,3,ATL
Jamal Agnew,WR,6,ATL
Dylan Drummond,WR,9,ATL
Jesse Matthews,WR,12,ATL
Jake Matthews,LT,1,ATL
Storm Norton,LT,2,ATL
Tyrone Wheatley Jr.,LT,3,ATL
Jordan Williams,LT,4,ATL
Matthew Bergeron,LG,1,ATL
Elijah Wilkinson,LG,2,ATL
Matthew Cindric,LG,3,ATL
Ryan Neuzil,C,1,ATL
Jovaughn Gwyn,C,2,ATL
Joshua Gray,C,3,ATL
Chris Lindstrom,RG,1,ATL
Kyle Hinton,RG,2,ATL
Michael Gonzalez,RG,3,ATL
Kaleb McGary,RT,1,ATL
Brandon Parker,RT,2,ATL
Jack Nelson,RT,3,ATL
Michael Penix Jr.,QB,1,ATL
Kirk Cousins,QB,2,ATL
Easton Stick,QB,3,ATL
Emory Jones,QB,4,ATL
Kyle Pitts,TE,1,ATL
Charlie Woerner,TE,2,ATL
Teagan Quitoriano,TE,3,ATL
Feleipe Franks,TE,4,ATL
Nikola Kalinic,TE,5,ATL
Joshua Simon,TE,6,ATL
Bijan Robinson,RB,1,ATL
Tyler Allgeier,RB,2,ATL
Carlos Washington Jr.,RB,3,ATL
Nate Carter,RB,4,ATL
Elijah Dotson,RB,5,ATL
Jashaun Corbin,RB,6,ATL
Khalil Shakir,WR,1,BUF
Elijah Moore,WR,4,BUF
Laviska Shenault Jr.,WR,7,BUF
Kristian Wilkerson,WR,10,BUF
Kelly Akharaiyi,WR,13,BUF
Keon Coleman,WR,2,BUF
Curtis Samuel,WR,5,BUF
Jalen Virgil,WR,8,BUF
Kaden Prather,WR,11,BUF
Stephen Gosnell,WR,14,BUF
Joshua Palmer,WR,3,BUF
Tyrell Shavers,WR,6,BUF
KJ Hamler,WR,9,BUF
Deon Cain,WR,12,BUF
Dion Dawkins,LT,1,BUF
Ryan Van Demark,LT,2,BUF
Chase Lundt,LT,3,BUF
David Edwards,LG,1,BUF
Alec Anderson,LG,2,BUF
Mike Edwards,LG,3,BUF
Connor McGovern,C,1,BUF
Sedrick Van Pran-Granger,C,2,BUF
Jacob Bayer,C,3,BUF
Dan Feeney,C,4,BUF
O'Cyrus Torrence,RG,1,BUF
Kendrick Green,RG,2,BUF
Richard Gouraige,RG,3,BUF
Spencer Brown,RT,1,BUF
Tylan Grable,RT,2,BUF
Travis Clayton,RT,3,BUF
Josh Allen,QB,1,BUF
Mitchell Trubisky,QB,2,BUF
Mike White,QB,3,BUF
Shane Buechele,QB,4,BUF
Dalton Kincaid,TE,1,BUF
Dawson Knox,TE,2,BUF
Jackson Hawes,TE,3,BUF
Zach Davidson,TE,4,BUF
Keleki Latu,TE,5,BUF
Matt Sokol,TE,6,BUF
James Cook,RB,1,BUF
Ray Davis,RB,2,BUF
Ty Johnson,RB,3,BUF
Darrynton Evans,RB,4,BUF
Frank Gore,RB,5,BUF
Reggie Gilliam,FB,1,BUF
