week,defteam,pass_yards_allowed,rush_yards_allowed,pass_td_allowed,rush_td_allowed,rec_td_allowed,total_yards_allowed,fantasy_points_allowed,plays_against
1,ARI,232.0,130.0,2.0,2.0,2,352.0,J.CookJ.CookM.HollinsK.ColemanJ.CookJ.CookD.KnoxJ.CookJ.CookJ.CookJ.CookJ.AllenTy.JohnsonC.SamuelK.ShakirJ.AllenK.ColemanJ.AllenJ.AllenJ.CookJ.CookK.ColemanJ.CookJ.CookR.DavisR.DavisR.DavisD.KincaidM.HollinsJ.CookR.DavisM.Valdes-ScantlingJ.CookK.ColemanTy.JohnsonJ.AllenK.ShakirJ.CookM.Valdes-ScantlingJ.CookD.KnoxK.ShakirJ.AllenJ.CookK.ColemanK.ColemanJ.AllenJ.AllenJ.CookD.KincaidJ.CookC.SamuelTy.JohnsonJ.CookJ.CookJ.CookJ.AllenJ.Allen,81
1,ATL,156.0,137.0,0.0,0.0,0,270.0,J.FieldsV.JeffersonJ.FieldsN.HarrisN.HarrisN.HarrisN.HarrisP.FreiermuthC.PattersonG.PickensJ.FieldsG.PickensJ.WarrenN.HarrisG.PickensG.PickensN.HarrisC.PattersonN.HarrisN.HarrisJ.FieldsC.PattersonJ.FieldsG.PickensJ.WarrenG.PickensJ.WarrenC.AustinP.FreiermuthG.PickensN.HarrisN.HarrisM.PruittG.PickensJ.FieldsN.HarrisN.HarrisM.PruittC.PattersonC.AustinG.PickensN.HarrisJ.FieldsM.PruittP.FreiermuthJ.FieldsN.HarrisN.HarrisP.FreiermuthN.HarrisJ.WarrenJ.FieldsD.WashingtonJ.FieldsN.HarrisN.HarrisV.JeffersonJ.FieldsN.HarrisN.HarrisJ.FieldsJ.FieldsN.HarrisN.HarrisJ.Fields,84
1,BAL,291.0,72.0,1.0,2.0,1,353.0,R.RiceI.PachecoR.RiceX.WorthyI.PachecoR.RiceI.PachecoR.RiceI.PachecoI.PachecoN.GrayJ.Smith-SchusterI.PachecoT.KelceT.KelceX.WorthyI.PachecoT.KelceX.WorthyR.RiceP.MahomesI.PachecoR.RiceJu.WatsonI.PachecoR.RiceJ.Smith-SchusterN.GrayI.PachecoI.PachecoI.PachecoT.KelceR.RiceI.PachecoS.PerineC.SteeleS.PerineR.RiceI.PachecoN.GrayI.PachecoI.PachecoP.MahomesI.PachecoX.WorthyI.PachecoP.MahomesI.PachecoI.PachecoC.SteeleP.Mahomes,70
1,BUF,162.0,124.0,1.0,1.0,1,272.0,J.ConnerJ.ConnerJ.ConnerJ.ConnerJ.ConnerJ.ConnerG.DortchM.HarrisonJ.ConnerK.MurrayJ.ConnerMi.WilsonJ.ConnerJ.ConnerE.DemercadoT.McBrideE.HigginsK.MurrayG.DortchJ.ConnerE.DemercadoT.BensonT.BensonM.HarrisonM.HarrisonK.MurrayE.HigginsT.McBrideG.DortchT.BensonT.McBrideT.BensonT.McBrideJ.ConnerK.MurrayJ.ConnerJ.ConnerG.DortchJ.ConnerT.McBrideK.MurrayJ.ConnerG.DortchJ.ConnerJ.ConnerJ.ConnerT.McBrideJ.ConnerMi.WilsonT.McBrideG.DortchT.McBrideG.DortchT.McBrideG.DortchJ.ConnerG.Dortch,76
1,CAR,200.0,180.0,3.0,2.0,3,379.0,A.KamaraT.HillF.MoreauA.KamaraR.ShaheedC.OlaveA.KamaraA.KamaraR.ShaheedA.KamaraA.KamaraT.HillC.OlaveJ.JohnsonT.HillT.HillT.HillA.KamaraA.KamaraF.MoreauA.KamaraT.HillJa.WilliamsA.KamaraA.KamaraR.ShaheedM.TiptonR.ShaheedF.MoreauJa.WilliamsJa.WilliamsA.KamaraC.OlaveR.ShaheedJ.JohnsonD.CarrA.KamaraR.ShaheedA.KamaraT.HillR.ShaheedA.KamaraA.KamaraA.KamaraA.KamaraA.KamaraJa.WilliamsJa.WilliamsJa.WilliamsA.KamaraJa.WilliamsJa.WilliamsJ.JohnsonD.CarrA.KamaraJa.WilliamsJa.WilliamsF.MoreauJa.WilliamsJa.WilliamsJ.MimsJ.MimsJ.MimsB.MeansJ.Mims,81
1,CHI,127.0,140.0,1.0,1.0,1,244.0,T.PollardT.PollardT.BoydT.PollardT.PollardT.SpearsN.VannettT.PollardT.PollardC.RidleyT.SpearsT.BurksT.PollardT.PollardT.PollardT.BurksC.RidleyT.SpearsT.PollardT.SpearsC.RidleyT.PollardW.LevisT.BoydW.LevisT.SpearsT.PollardC.RidleyT.SpearsC.OkonkwoT.SpearsT.PollardT.BurksW.LevisT.BurksC.RidleyT.PollardT.PollardT.PollardD.HopkinsT.SpearsN.VannettT.PollardT.PollardT.PollardT.BoydT.PollardT.BoydW.LevisT.PollardC.RidleyC.RidleyT.SpearsC.RidleyC.OkonkwoT.Boyd,83
1,CIN,121.0,170.0,0.0,1.0,0,290.0,H.HenryR.StevensonR.StevensonR.StevensonK.OsbornR.StevensonJ.BrissettA.HooperA.GibsonA.HooperD.DouglasA.GibsonR.StevensonA.HooperT.ThorntonJ.BrissettR.StevensonK.OsbornR.StevensonA.GibsonK.OsbornK.OsbornR.StevensonR.StevensonR.StevensonR.StevensonT.ThorntonA.GibsonA.GibsonK.OsbornH.HenryR.StevensonT.ThorntonJ.BrissettR.StevensonR.StevensonR.StevensonR.StevensonR.StevensonD.DouglasR.StevensonJ.PolkJ.BrissettR.StevensonA.HooperR.StevensonA.GibsonH.HenryA.GibsonR.StevensonK.OsbornR.StevensonR.StevensonR.StevensonD.DouglasR.StevensonR.StevensonR.StevensonR.StevensonJ.BrissettJ.BrissettJ.Brissett,82
1,CLE,179.0,102.0,1.0,1.0,1,265.0,E.ElliottC.LambE.ElliottR.DowdleC.LambK.TurpinC.LambJ.FergusonR.DowdleB.CooksE.ElliottJ.FergusonE.ElliottE.ElliottC.LambC.LambC.LambB.CooksR.DowdleJ.FergusonC.LambE.ElliottD.PrescottC.LambE.ElliottH.LuepkeR.DowdleJ.BrooksB.CooksE.ElliottE.ElliottB.CooksR.DowdleD.VaughnB.CooksE.ElliottJ.FergusonJ.TolbertB.CooksC.LambC.LambJ.FergusonE.ElliottC.LambR.DowdleR.DowdleR.DowdleJ.TolbertC.LambH.LuepkeE.ElliottB.CooksB.CooksE.ElliottR.DowdleR.DowdleC.LambC.Rush,85
1,DAL,169.0,93.0,1.0,1.0,1,230.0,J.FordA.CooperD.NjokuA.CooperD.NjokuD.WatsonJ.FordJ.JeudyJ.FordJ.JeudyD.NjokuJ.FordE.MooreD.NjokuJ.AkinsA.CooperE.MooreJ.FordJ.FordE.MooreD.NjokuJ.JeudyP.StrongJ.FordJ.FordA.CooperJ.FordA.CooperJ.JeudyD.NjokuJ.AkinsE.MooreJ.JeudyA.CooperA.CooperJ.JeudyA.CooperJ.JeudyJ.FordJ.FordJ.JeudyJ.FordJ.FordC.TillmanD.WatsonD.WatsonJ.FordJ.FordJ.FordP.StrongJ.AkinsE.MooreE.MooreJ.FordJ.FordA.CooperP.StrongD.WatsonD.WatsonJ.FordA.CooperJ.AkinsP.StrongP.StrongJ.FordD.WatsonJ.FordJ.Ford,98
1,DEN,171.0,146.0,1.0,2.0,1,304.0,T.LockettK.WalkerN.FantD.MetcalfK.WalkerK.WalkerN.FantN.FantZ.CharbonnetJ.Smith-NjigbaJ.Smith-NjigbaD.MetcalfL.ShenaultK.WalkerD.YoungD.MetcalfK.WalkerD.MetcalfK.WalkerD.MetcalfT.LockettG.SmithD.MetcalfZ.CharbonnetK.WalkerK.WalkerK.WalkerT.LockettK.WalkerK.WalkerK.WalkerK.WalkerZ.CharbonnetZ.CharbonnetK.WalkerJ.Smith-NjigbaK.WalkerK.WalkerK.WalkerN.FantK.WalkerK.WalkerK.WalkerK.WalkerT.LockettD.MetcalfT.LockettZ.CharbonnetK.WalkerT.LockettD.MetcalfL.ShenaultK.WalkerZ.CharbonnetZ.CharbonnetJ.Smith-NjigbaZ.CharbonnetZ.CharbonnetZ.CharbonnetZ.CharbonnetN.FantT.LockettG.SmithG.SmithG.Smith,86
