game_id,home_team,away_team,spread_line,total_line,week,home_favorite,implied_home_score,implied_away_score
2024_01_BAL_KC,KC,BAL,3.0,46.0,1,False,24.5,21.5
2024_01_GB_PHI,PHI,GB,2.0,49.5,1,False,25.75,23.75
2024_01_PIT_ATL,ATL,PIT,4.0,43.0,1,False,23.5,19.5
2024_01_ARI_BUF,BUF,ARI,6.5,46.0,1,False,26.25,19.75
2024_01_TEN_CHI,CHI,TEN,4.0,43.0,1,False,23.5,19.5
2024_01_NE_CIN,CIN,NE,8.0,40.5,1,False,24.25,16.25
2024_01_HOU_IND,IND,HOU,-3.0,49.0,1,True,23.0,26.0
2024_01_JAX_MIA,MIA,JAX,3.5,49.5,1,False,26.5,23.0
2024_01_CAR_NO,NO,CAR,3.5,41.5,1,False,22.5,19.0
2024_01_MIN_NYG,NYG,MIN,-1.0,42.5,1,True,20.75,21.75
2024_01_LV_LAC,LAC,LV,3.0,41.0,1,False,22.0,19.0
2024_01_DEN_SEA,SEA,DEN,6.5,42.0,1,False,24.25,17.75
2024_01_DAL_CLE,CLE,DAL,2.5,42.0,1,False,22.25,19.75
2024_01_WAS_TB,TB,WAS,4.0,42.0,1,False,23.0,19.0
2024_01_LA_DET,DET,LA,5.0,54.0,1,False,29.5,24.5
2024_01_NYJ_SF,SF,NYJ,3.5,43.0,1,False,23.25,19.75
2024_02_BUF_MIA,MIA,BUF,2.5,48.5,2,False,25.5,23.0
2024_02_LV_BAL,BAL,LV,9.0,41.0,2,False,25.0,16.0
2024_02_LAC_CAR,CAR,LAC,-5.0,39.0,2,True,17.0,22.0
2024_02_NO_DAL,DAL,NO,6.5,47.0,2,False,26.75,20.25
2024_02_TB_DET,DET,TB,7.5,51.5,2,False,29.5,22.0
2024_02_IND_GB,GB,IND,-3.0,41.5,2,True,19.25,22.25
2024_02_CLE_JAX,JAX,CLE,3.0,41.5,2,False,22.25,19.25
2024_02_SF_MIN,MIN,SF,-4.5,46.5,2,True,21.0,25.5
2024_02_SEA_NE,NE,SEA,-3.5,39.0,2,True,17.75,21.25
2024_02_NYJ_TEN,TEN,NYJ,-3.5,41.5,2,True,19.0,22.5
2024_02_NYG_WAS,WAS,NYG,1.5,42.5,2,False,22.0,20.5
2024_02_LA_ARI,ARI,LA,-1.0,47.5,2,True,23.25,24.25
2024_02_PIT_DEN,DEN,PIT,-3.0,36.5,2,True,16.75,19.75
2024_02_CIN_KC,KC,CIN,6.5,47.5,2,False,27.0,20.5
2024_02_CHI_HOU,HOU,CHI,6.0,45.5,2,False,25.75,19.75
2024_02_ATL_PHI,PHI,ATL,5.5,46.5,2,False,26.0,20.5
2024_03_NE_NYJ,NYJ,NE,6.5,39.0,3,False,22.75,16.25
2024_03_NYG_CLE,CLE,NYG,6.5,38.0,3,False,22.25,15.75
2024_03_CHI_IND,IND,CHI,1.5,43.0,3,False,22.25,20.75
2024_03_HOU_MIN,MIN,HOU,-2.0,46.0,3,True,22.0,24.0
2024_03_PHI_NO,NO,PHI,2.5,49.0,3,False,25.75,23.25
2024_03_LAC_PIT,PIT,LAC,3.0,36.0,3,False,19.5,16.5
