game_id,temp,wind,roof,surface,spread_line_x,score_diff_final,home_team,away_team,spread_line_y,total_line,week,home_favorite,implied_home_score,implied_away_score
2024_01_ARI_BUF,61.0,20.0,outdoors,a_turf,6.5,6.0,BUF,ARI,6.5,46.0,1,False,26.25,19.75
2024_01_BAL_KC,67.0,8.0,outdoors,grass,3.0,7.0,KC,BAL,3.0,46.0,1,False,24.5,21.5
2024_01_CAR_NO,,,dome,sportturf,3.5,37.0,NO,CAR,3.5,41.5,1,False,22.5,19.0
2024_01_DAL_CLE,69.0,17.0,outdoors,grass,2.5,-16.0,CLE,DAL,2.5,42.0,1,False,22.25,19.75
2024_01_DEN_SEA,65.0,7.0,outdoors,fieldturf,6.5,6.0,SEA,DEN,6.5,42.0,1,False,24.25,17.75
2024_01_GB_PHI,,,outdoors,,2.0,5.0,PHI,GB,2.0,49.5,1,False,25.75,23.75
2024_01_HOU_IND,,,closed,fieldturf,-3.0,-2.0,IND,HOU,-3.0,49.0,1,True,23.0,26.0
2024_01_JAX_MIA,91.0,10.0,outdoors,grass,3.5,3.0,MIA,JAX,3.5,49.5,1,False,26.5,23.0
2024_01_LA_DET,,,dome,fieldturf,5.0,6.0,DET,LA,5.0,54.0,1,False,29.5,24.5
2024_01_LV_LAC,,,dome,matrixturf,3.0,12.0,LAC,LV,3.0,41.0,1,False,22.0,19.0
2024_01_MIN_NYG,64.0,10.0,outdoors,fieldturf,-1.0,-22.0,NYG,MIN,-1.0,42.5,1,True,20.75,21.75
2024_01_NE_CIN,66.0,5.0,outdoors,fieldturf,8.0,-6.0,CIN,NE,8.0,40.5,1,False,24.25,16.25
2024_01_NYJ_SF,76.0,10.0,outdoors,grass,3.5,13.0,SF,NYJ,3.5,43.0,1,False,23.25,19.75
2024_01_PIT_ATL,,,closed,fieldturf,4.0,-8.0,ATL,PIT,4.0,43.0,1,False,23.5,19.5
2024_01_TEN_CHI,67.0,8.0,outdoors,grass,4.0,7.0,CHI,TEN,4.0,43.0,1,False,23.5,19.5
2024_01_WAS_TB,93.0,6.0,outdoors,grass,4.0,17.0,TB,WAS,4.0,42.0,1,False,23.0,19.0
2024_02_ATL_PHI,71.0,9.0,outdoors,grass,5.5,-1.0,PHI,ATL,5.5,46.5,2,False,26.0,20.5
2024_02_BUF_MIA,86.0,3.0,outdoors,grass,2.5,-21.0,MIA,BUF,2.5,48.5,2,False,25.5,23.0
2024_02_CHI_HOU,,,closed,astroturf,6.0,6.0,HOU,CHI,6.0,45.5,2,False,25.75,19.75
2024_02_CIN_KC,89.0,8.0,outdoors,grass,6.5,1.0,KC,CIN,6.5,47.5,2,False,27.0,20.5
2024_02_CLE_JAX,80.0,12.0,outdoors,grass,3.0,-5.0,JAX,CLE,3.0,41.5,2,False,22.25,19.25
2024_02_IND_GB,85.0,7.0,outdoors,grass,-3.0,6.0,GB,IND,-3.0,41.5,2,True,19.25,22.25
2024_02_LAC_CAR,78.0,13.0,outdoors,grass,-5.0,-23.0,CAR,LAC,-5.0,39.0,2,True,17.0,22.0
2024_02_LA_ARI,,,closed,grass,-1.0,31.0,ARI,LA,-1.0,47.5,2,True,23.25,24.25
2024_02_LV_BAL,76.0,10.0,outdoors,grass,9.0,-3.0,BAL,LV,9.0,41.0,2,False,25.0,16.0
2024_02_NO_DAL,,,closed,matrixturf,6.5,-25.0,DAL,NO,6.5,47.0,2,False,26.75,20.25
2024_02_NYG_WAS,82.0,11.0,outdoors,grass,1.5,3.0,WAS,NYG,1.5,42.5,2,False,22.0,20.5
2024_02_NYJ_TEN,80.0,13.0,outdoors,grass,-3.5,-7.0,TEN,NYJ,-3.5,41.5,2,True,19.0,22.5
2024_02_PIT_DEN,83.0,4.0,outdoors,grass,-3.0,-7.0,DEN,PIT,-3.0,36.5,2,True,16.75,19.75
2024_02_SEA_NE,77.0,5.0,outdoors,fieldturf,-3.5,-3.0,NE,SEA,-3.5,39.0,2,True,17.75,21.25
2024_02_SF_MIN,,,dome,sportturf,-4.5,6.0,MIN,SF,-4.5,46.5,2,True,21.0,25.5
2024_02_TB_DET,,,dome,fieldturf,7.5,-4.0,DET,TB,7.5,51.5,2,False,29.5,22.0
2024_03_BAL_DAL,,,closed,matrixturf,-1.5,-3.0,DAL,BAL,-1.5,47.5,3,True,23.0,24.5
2024_03_CAR_LV,,,dome,grass,5.5,-14.0,LV,CAR,5.5,40.0,3,False,22.75,17.25
2024_03_CHI_IND,,,closed,fieldturf,1.5,5.0,IND,CHI,1.5,43.0,3,False,22.25,20.75
2024_03_DEN_TB,85.0,6.0,outdoors,grass,6.0,-19.0,TB,DEN,6.0,40.5,3,False,23.25,17.25
2024_03_DET_ARI,,,closed,grass,-3.0,-7.0,ARI,DET,-3.0,51.5,3,True,24.25,27.25
2024_03_GB_TEN,87.0,7.0,outdoors,grass,3.0,-16.0,TEN,GB,3.0,37.0,3,False,20.0,17.0
2024_03_HOU_MIN,,,dome,sportturf,-2.0,27.0,MIN,HOU,-2.0,46.0,3,True,22.0,24.0
2024_03_JAX_BUF,68.0,5.0,outdoors,a_turf,4.0,37.0,BUF,JAX,4.0,46.5,3,False,25.25,21.25
2024_03_KC_ATL,,,closed,fieldturf,-3.0,-5.0,ATL,KC,-3.0,46.0,3,True,21.5,24.5
2024_03_LAC_PIT,72.0,2.0,outdoors,grass,3.0,10.0,PIT,LAC,3.0,36.0,3,False,19.5,16.5
2024_03_MIA_SEA,64.0,2.0,outdoors,fieldturf,4.0,21.0,SEA,MIA,4.0,41.5,3,False,22.75,18.75
2024_03_NE_NYJ,75.0,5.0,outdoors,fieldturf,6.5,21.0,NYJ,NE,6.5,39.0,3,False,22.75,16.25
2024_03_NYG_CLE,76.0,4.0,outdoors,grass,6.5,-6.0,CLE,NYG,6.5,38.0,3,False,22.25,15.75
2024_03_PHI_NO,,,dome,sportturf,2.5,-3.0,NO,PHI,2.5,49.0,3,False,25.75,23.25
2024_03_SF_LA,,,dome,matrixturf,-6.0,3.0,LA,SF,-6.0,44.5,3,True,19.25,25.25
2024_03_WAS_CIN,69.0,5.0,outdoors,fieldturf,7.5,-5.0,CIN,WAS,7.5,46.0,3,False,26.75,19.25
2024_04_BUF_BAL,68.0,8.0,outdoors,grass,2.5,25.0,BAL,BUF,2.5,46.5,4,False,24.5,22.0
2024_04_CIN_CAR,78.0,6.0,outdoors,grass,-4.5,-10.0,CAR,CIN,-4.5,47.0,4,True,21.25,25.75
2024_04_CLE_LV,,,dome,grass,-2.5,4.0,LV,CLE,-2.5,36.5,4,True,17.0,19.5
2024_04_DAL_NYG,74.0,3.0,outdoors,fieldturf,-5.5,-5.0,NYG,DAL,-5.5,45.0,4,True,19.75,25.25
2024_04_DEN_NYJ,67.0,8.0,outdoors,fieldturf,7.5,-1.0,NYJ,DEN,7.5,39.5,4,False,23.5,16.0
2024_04_JAX_HOU,,,closed,astroturf,5.5,4.0,HOU,JAX,5.5,44.5,4,False,25.0,19.5
2024_04_KC_LAC,,,dome,matrixturf,-7.5,-7.0,LAC,KC,-7.5,41.5,4,True,17.0,24.5
2024_04_LA_CHI,70.0,16.0,outdoors,grass,3.0,6.0,CHI,LA,3.0,40.0,4,False,21.5,18.5
2024_04_MIN_GB,71.0,15.0,outdoors,grass,2.5,-2.0,GB,MIN,2.5,44.0,4,False,23.25,20.75
2024_04_NE_SF,71.0,5.0,outdoors,grass,10.5,17.0,SF,NE,10.5,41.5,4,False,26.0,15.5
2024_04_NO_ATL,,,closed,fieldturf,2.5,2.0,ATL,NO,2.5,41.5,4,False,22.0,19.5
2024_04_PHI_TB,88.0,9.0,outdoors,grass,-1.0,17.0,TB,PHI,-1.0,42.0,4,True,20.5,21.5
2024_04_PIT_IND,,,closed,fieldturf,-2.5,3.0,IND,PIT,-2.5,40.0,4,True,18.75,21.25
2024_04_SEA_DET,,,dome,fieldturf,3.5,13.0,DET,SEA,3.5,46.5,4,False,25.0,21.5
2024_04_TEN_MIA,86.0,9.0,outdoors,grass,2.5,-19.0,MIA,TEN,2.5,37.0,4,False,19.75,17.25
2024_04_WAS_ARI,,,closed,grass,3.5,-28.0,ARI,WAS,3.5,49.0,4,False,26.25,22.75
2024_05_ARI_SF,89.0,3.0,outdoors,grass,7.0,-1.0,SF,ARI,7.0,48.5,5,False,27.75,20.75
2024_05_BAL_CIN,81.0,10.0,outdoors,fieldturf,-2.5,-3.0,CIN,BAL,-2.5,48.5,5,True,23.0,25.5
2024_05_BUF_HOU,,,closed,astroturf,1.0,3.0,HOU,BUF,1.0,48.0,5,False,24.5,23.5
2024_05_CAR_CHI,74.0,7.0,outdoors,grass,4.0,26.0,CHI,CAR,4.0,40.0,5,False,22.0,18.0
2024_05_CLE_WAS,73.0,5.0,outdoors,grass,3.0,21.0,WAS,CLE,3.0,44.0,5,False,23.5,20.5
2024_05_DAL_PIT,67.0,6.0,outdoors,grass,2.5,-3.0,PIT,DAL,2.5,43.5,5,False,23.0,20.5
2024_05_GB_LA,,,dome,matrixturf,-3.0,-5.0,LA,GB,-3.0,49.5,5,True,23.25,26.25
2024_05_IND_JAX,74.0,4.0,outdoors,grass,3.5,3.0,JAX,IND,3.5,45.0,5,False,24.25,20.75
2024_05_LV_DEN,73.0,7.0,outdoors,grass,3.0,16.0,DEN,LV,3.0,36.0,5,False,19.5,16.5
2024_05_MIA_NE,65.0,2.0,outdoors,fieldturf,-2.0,-5.0,NE,MIA,-2.0,37.0,5,True,17.5,19.5
2024_05_NO_KC,70.0,1.0,outdoors,grass,5.5,13.0,KC,NO,5.5,43.0,5,False,24.25,18.75
2024_05_NYG_SEA,61.0,3.0,outdoors,fieldturf,7.0,-9.0,SEA,NYG,7.0,42.5,5,False,24.75,17.75
2024_05_NYJ_MIN,59.0,8.0,outdoors,grass,2.5,6.0,MIN,NYJ,2.5,42.0,5,False,22.25,19.75
2024_05_TB_ATL,,,closed,fieldturf,2.5,6.0,ATL,TB,2.5,44.0,5,False,23.25,20.75
2024_06_ARI_GB,50.0,4.0,outdoors,grass,5.5,21.0,GB,ARI,5.5,47.0,6,False,26.25,20.75
2024_06_ATL_CAR,79.0,9.0,outdoors,grass,-6.0,-18.0,CAR,ATL,-6.0,45.5,6,True,19.75,25.75
2024_06_BUF_NYJ,49.0,14.0,outdoors,fieldturf,-1.0,-3.0,NYJ,BUF,-1.0,42.0,6,True,20.5,21.5
2024_06_CIN_NYG,63.0,2.0,outdoors,fieldturf,-4.5,-10.0,NYG,CIN,-4.5,46.0,6,True,20.75,25.25
2024_06_CLE_PHI,82.0,10.0,outdoors,grass,8.0,4.0,PHI,CLE,8.0,42.0,6,False,25.0,17.0
2024_06_DET_DAL,,,closed,matrixturf,-3.5,-38.0,DAL,DET,-3.5,52.5,6,True,24.5,28.0
2024_06_HOU_NE,53.0,5.0,outdoors,fieldturf,-6.5,-20.0,NE,HOU,-6.5,38.5,6,True,16.0,22.5
2024_06_IND_TEN,80.0,12.0,outdoors,grass,2.5,-3.0,TEN,IND,2.5,42.0,6,False,22.25,19.75
2024_06_JAX_CHI,54.0,3.0,outdoors,grass,-1.5,19.0,CHI,JAX,-1.5,44.5,6,True,21.5,23.0
2024_06_LAC_DEN,65.0,7.0,outdoors,grass,-3.0,-7.0,DEN,LAC,-3.0,37.0,6,True,17.0,20.0
2024_06_PIT_LV,,,dome,grass,-3.5,-19.0,LV,PIT,-3.5,36.5,6,True,16.5,20.0
2024_06_SF_SEA,59.0,10.0,outdoors,fieldturf,-3.5,-12.0,SEA,SF,-3.5,49.0,6,True,22.75,26.25
2024_06_TB_NO,,,dome,sportturf,-3.5,-24.0,NO,TB,-3.5,42.5,6,True,19.5,23.0
2024_06_WAS_BAL,75.0,8.0,outdoors,grass,6.5,7.0,BAL,WAS,6.5,51.5,6,False,29.0,22.5
