season,week,team,attempts,carries,passing_yards,rushing_yards,receiving_yards,total_plays,pass_rate,total_yards,yards_per_play,pass_yards_per_play,rush_yards_per_play
2023,1,ARI,30,25,132.0,96.0,132.0,55,0.5454545454545454,360.0,6.545454545454546,4.4,3.84
2023,1,ATL,18,26,115.0,130.0,115.0,44,0.4090909090909091,360.0,8.181818181818182,6.388888888888889,5.0
2023,1,BAL,22,32,169.0,110.0,169.0,54,0.4074074074074074,448.0,8.296296296296296,7.681818181818182,3.4375
2023,1,BUF,41,22,236.0,97.0,236.0,63,0.6507936507936508,569.0,9.031746031746032,5.7560975609756095,4.409090909090909
2023,1,CAR,38,32,146.0,154.0,146.0,70,0.5428571428571428,446.0,6.371428571428571,3.8421052631578947,4.8125
2023,1,CHI,37,29,216.0,122.0,216.0,66,0.5606060606060606,554.0,8.393939393939394,5.837837837837838,4.206896551724138
2023,1,CIN,32,20,82.0,75.0,82.0,52,0.6153846153846154,239.0,4.596153846153846,2.5625,3.75
2023,1,CLE,29,40,154.0,206.0,154.0,69,0.42028985507246375,514.0,7.449275362318841,5.310344827586207,5.15
2023,1,DAL,25,30,143.0,122.0,143.0,55,0.45454545454545453,408.0,7.418181818181818,5.72,4.066666666666666
2023,1,DEN,34,22,177.0,94.0,174.0,56,0.6071428571428571,445.0,7.946428571428571,5.205882352941177,4.2727272727272725
2023,1,DET,35,33,253.0,115.0,253.0,68,0.5147058823529411,621.0,9.132352941176471,7.228571428571429,3.484848484848485
2023,1,GB,27,32,245.0,92.0,245.0,59,0.4576271186440678,582.0,9.864406779661017,9.074074074074074,2.875
2023,1,HOU,44,23,242.0,72.0,242.0,67,0.6567164179104478,556.0,8.298507462686567,5.5,3.130434782608696
2023,1,IND,39,26,223.0,65.0,223.0,65,0.6,511.0,7.861538461538461,5.717948717948718,2.5
2023,1,JAX,32,35,241.0,105.0,241.0,67,0.47761194029850745,587.0,8.761194029850746,7.53125,3.0
2023,1,KC,39,23,226.0,90.0,226.0,62,0.6290322580645161,542.0,8.741935483870968,5.794871794871795,3.9130434782608696
2023,1,LA,38,40,334.0,92.0,334.0,78,0.48717948717948717,760.0,9.743589743589743,8.789473684210526,2.3
2023,1,LAC,33,40,229.0,233.0,229.0,73,0.4520547945205479,691.0,9.465753424657533,6.9393939393939394,5.825
2023,1,LV,26,29,200.0,61.0,200.0,55,0.4727272727272727,461.0,8.381818181818181,7.6923076923076925,2.103448275862069
2023,1,MIA,45,20,466.0,70.0,432.0,65,0.6923076923076923,968.0,14.892307692307693,10.355555555555556,3.5
2023,1,MIN,44,17,344.0,41.0,337.0,61,0.7213114754098361,722.0,11.836065573770492,7.818181818181818,2.411764705882353
2023,1,NE,54,22,316.0,76.0,316.0,76,0.7105263157894737,708.0,9.31578947368421,5.851851851851852,3.4545454545454546
2023,1,NO,33,27,305.0,69.0,305.0,60,0.55,679.0,11.316666666666666,9.242424242424242,2.5555555555555554
2023,1,NYG,30,28,110.0,108.0,110.0,58,0.5172413793103449,328.0,5.655172413793103,3.6666666666666665,3.857142857142857
2023,1,NYJ,22,28,140.0,172.0,140.0,50,0.44,452.0,9.04,6.363636363636363,6.142857142857143
2023,1,PHI,33,25,170.0,97.0,170.0,58,0.5689655172413793,437.0,7.5344827586206895,5.151515151515151,3.88
2023,1,PIT,46,10,232.0,41.0,232.0,56,0.8214285714285714,505.0,9.017857142857142,5.043478260869565,4.1
2023,1,SEA,26,18,112.0,85.0,112.0,44,0.5909090909090909,309.0,7.0227272727272725,4.3076923076923075,4.722222222222222
2023,1,SF,29,34,220.0,188.0,220.0,63,0.4603174603174603,628.0,9.968253968253968,7.586206896551724,5.529411764705882
2023,1,TB,34,33,173.0,73.0,173.0,67,0.5074626865671642,419.0,6.253731343283582,5.088235294117647,2.212121212121212
2023,1,TEN,34,22,198.0,104.0,198.0,56,0.6071428571428571,500.0,8.928571428571429,5.823529411764706,4.7272727272727275
2023,1,WAS,31,28,202.0,92.0,202.0,59,0.5254237288135594,496.0,8.40677966101695,6.516129032258065,3.2857142857142856
2023,2,ARI,31,29,228.0,151.0,228.0,60,0.5166666666666667,607.0,10.116666666666667,7.354838709677419,5.206896551724138
