week,defteam,pass_yards_allowed,rush_yards_allowed,pass_td_allowed,rush_td_allowed,rec_td_allowed,total_yards_allowed,fantasy_points_allowed,plays_against
1,ARI,202.0,92.0,1.0,1.0,1,248.0,B.RobinsonJ.DotsonC.RodriguezL.ThomasJ.DotsonC.SamuelL.ThomasC.SamuelL.ThomasA.GibsonJ.DotsonB.RobinsonT.McLaurinC.SamuelB.RobinsonL.ThomasL.ThomasJ.DotsonB.RobinsonB.RobinsonS.HowellA.GibsonT.McLaurinC.SamuelC.TurnerA.GibsonT.McLaurinT.McLaurinJ.DotsonT.McLaurinL.ThomasC.SamuelJ.DotsonL.ThomasC.TurnerC.SamuelL.ThomasB.RobinsonJ.DotsonB.RobinsonB.RobinsonS.HowellS.HowellB.RobinsonL.ThomasL.ThomasB.RobinsonB.RobinsonB.RobinsonB.RobinsonC.RodriguezS.HowellB.RobinsonB.RobinsonA.GibsonB.RobinsonB.RobinsonB.RobinsonB.RobinsonB.RobinsonB.RobinsonC.Rodriguez,90
1,ATL,146.0,154.0,1.0,0.0,1,281.0,M.SandersT.MarshallM.SandersC.HubbardB.YoungL.ShenaultL.ShenaultC.HubbardM.SandersL.ShenaultC.HubbardA.ThielenM.SandersH.HurstH.HurstC.HubbardM.SandersL.ShenaultH.HurstM.SandersT.MarshallM.SandersA.ThielenJ.MingoC.HubbardH.HurstM.SandersH.HurstT.MarshallJ.MingoJ.MingoG.RicciC.HubbardH.HurstM.SandersB.YoungM.SandersJ.MingoM.SandersC.HubbardM.SandersC.HubbardT.MarshallC.HubbardM.SandersC.HubbardT.MarshallM.SandersM.SandersM.SandersM.SandersM.SandersT.MarshallM.SandersJ.MingoM.SandersT.MarshallM.SandersM.SandersH.HurstC.HubbardM.SandersJ.MingoM.SandersA.ThielenC.HubbardM.SandersB.Young,91
1,BAL,242.0,72.0,0.0,0.0,0,268.0,D.PierceC.StroudD.PierceD.SchultzD.PierceN.DellN.BrownD.SingletaryN.CollinsD.SchultzD.PierceC.StroudR.WoodsD.PierceN.CollinsR.WoodsD.SchultzC.StroudR.WoodsN.CollinsN.CollinsD.PierceD.PierceN.BrownD.SingletaryD.SingletaryD.SingletaryN.DellR.WoodsN.CollinsM.BooneN.DellN.CollinsR.WoodsD.PierceD.PierceD.PierceD.PierceA.BeckR.WoodsN.CollinsD.PierceD.SingletaryN.BrownN.CollinsN.DellD.SingletaryD.SingletaryR.WoodsR.WoodsD.PierceT.QuitorianoD.SchultzN.BrownR.WoodsD.PierceN.CollinsN.CollinsN.BrownR.WoodsN.DellC.StroudR.WoodsC.StroudN.BrownM.BooneX.HutchinsonN.CollinsM.BooneN.DellM.Boone,94
1,BUF,140.0,172.0,1.0,0.0,1,289.0,Bre.HallT.ConklinG.WilsonMi.CarterD.CookA.LazardD.CookD.CookBre.HallD.CookD.CookT.ConklinD.CookR.CobbZ.WilsonBre.HallBre.HallG.WilsonD.CookBre.HallD.CookD.CookD.CookBre.HallBre.HallD.CookG.WilsonA.LazardMi.CarterA.LazardBre.HallD.CookD.CookA.LazardBre.HallBre.HallG.WilsonZ.WilsonG.WilsonBre.HallBre.HallD.CookZ.WilsonD.CookD.CookM.CarterZ.Wilson,72
1,CAR,115.0,130.0,1.0,2.0,1,221.0,D.RidderB.RobinsonT.AllgeierT.AllgeierT.AllgeierB.RobinsonB.RobinsonB.RobinsonB.RobinsonD.LondonK.PittsM.HollinsB.RobinsonB.RobinsonD.RidderM.HollinsB.RobinsonM.HollinsB.RobinsonB.RobinsonT.AllgeierK.PittsT.AllgeierB.RobinsonB.RobinsonB.RobinsonT.AllgeierT.AllgeierK.PittsT.AllgeierB.RobinsonT.AllgeierT.AllgeierB.RobinsonT.AllgeierT.AllgeierB.RobinsonT.AllgeierM.HollinsT.AllgeierK.PittsT.AllgeierT.AllgeierB.RobinsonT.AllgeierT.AllgeierD.Ridder,70
1,CHI,245.0,92.0,3.0,1.0,3,329.0,A.JonesJ.ReedR.DoubsA.JonesA.JonesA.JonesD.WicksA.JonesA.DillonA.JonesR.DoubsM.HeathA.DillonL.MusgraveR.DoubsA.DillonJ.ReedA.DillonL.MusgraveS.ToureS.ToureA.DillonJ.LoveA.JonesL.MusgraveJ.ReedD.WicksA.JonesA.JonesJ.LoveA.JonesA.JonesA.DillonA.DillonA.JonesA.DillonR.DoubsJ.LoveA.JonesS.ToureA.DillonJ.ReedA.DillonA.DillonJ.ReedL.MusgraveR.DoubsA.DillonA.DillonA.DillonA.DillonP.TaylorJ.ReedA.DillonP.TaylorS.CliffordP.TaylorP.TaylorP.Taylor,79
1,CIN,154.0,206.0,1.0,1.0,1,352.0,N.ChubbA.CooperD.WatsonN.ChubbN.ChubbN.ChubbN.ChubbM.GoodwinN.ChubbD.WatsonJ.FordN.ChubbN.ChubbA.CooperD.WatsonN.ChubbE.MooreJ.FordA.CooperA.CooperM.GoodwinD.NjokuN.ChubbN.ChubbD.Peoples-JonesN.ChubbN.ChubbN.ChubbJ.FordA.CooperE.MooreDav.BellE.MooreA.CooperD.Peoples-JonesJ.FordE.MooreA.CooperD.WatsonN.ChubbE.MooreE.MooreN.ChubbN.ChubbE.MooreN.ChubbE.MooreD.WatsonN.ChubbN.ChubbN.ChubbD.NjokuE.MooreD.NjokuJ.FordJ.FordJ.FordH.BryantN.ChubbN.ChubbH.BryantD.WatsonJ.FordJ.FordJ.FordJ.FordJ.FordJ.AkinsJ.FordJ.FordJ.Ford,89
1,CLE,82.0,75.0,0.0,0.0,0,142.0,T.HigginsJ.MixonJ.ChaseJ.ChaseC.EvansJ.MixonJ.MixonI.SmithJ.MixonI.SmithT.BoydJ.MixonT.BoydC.EvansJ.MixonJ.MixonT.WilliamsT.WilliamsT.HigginsJ.MixonJ.ChaseJ.MixonJ.MixonJ.ChaseT.BoydT.HigginsJ.BurrowJ.MixonT.HigginsJ.ChaseT.HigginsJ.MixonI.SmithJ.MixonJ.MixonJ.ChaseJ.MixonT.HigginsJ.MixonJ.ChaseJ.ChaseT.HigginsI.SmithT.HigginsJ.ChaseI.SmithJ.ChaseJ.ChaseC.EvansJ.MixonJ.MixonJ.ChaseJ.Browning,78
1,DAL,110.0,108.0,0.0,0.0,0,171.0,S.BarkleyD.JonesS.BarkleyS.BarkleyS.BarkleyM.BreidaD.JonesS.BarkleyD.JonesJ.SchmitzD.SlaytonD.WallerS.BarkleyS.BarkleyS.BarkleyD.JonesD.WallerS.BarkleyP.CampbellD.WallerS.BarkleyD.WallerS.BarkleyI.HodginsD.JonesD.WallerS.BarkleyS.BarkleyS.BarkleyP.CampbellD.JonesJ.HyattD.JonesD.JonesD.JonesS.BarkleyD.SlaytonS.BarkleyD.BellingerP.CampbellD.SlaytonD.JonesD.JonesS.ShepardP.CampbellI.HodginsI.HodginsD.JonesL.CagerM.BreidaD.JonesG.BrightwellP.CampbellL.CagerM.BreidaD.SlaytonD.SlaytonT.TaylorG.BrightwellG.Brightwell,85
1,DEN,200.0,61.0,2.0,0.0,2,261.0,J.JacobsD.AdamsJ.GaroppoloD.AdamsJ.JacobsJ.JacobsJ.GaroppoloJ.JacobsJ.JacobsJ.MeyersJ.JacobsJ.JacobsJ.JacobsJ.MeyersJ.MeyersJ.JacobsJ.JacobsZ.WhiteJ.MeyersJ.JacobsD.AdamsD.AdamsJ.MeyersJ.MeyersJ.GaroppoloJ.JacobsJ.JacobsD.AdamsJ.JacobsD.AdamsJ.JacobsD.AdamsJ.JacobsJ.MeyersZ.WhiteD.AdamsJ.JacobsJ.MeyersJ.GaroppoloD.CarterD.AdamsA.AbdullahJ.JacobsD.AdamsJ.MeyersA.HooperJ.JacobsJ.MeyersD.CarterJ.JacobsJ.JacobsJ.JacobsJ.MeyersJ.JacobsJ.GaroppoloJ.GaroppoloJ.GaroppoloJ.GaroppoloJ.Garoppolo,71
