"season","game_type","team","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified"
2023,"REG","ARI",1,"00-0034473","LB","Dennis Gardeck","Dennis","Gardeck",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-08 18:49:43
2023,"REG","ARI",1,"00-0029316","T","Kelvin Beachum","Kelvin","Beachum","Hand",NA,"Out","Hand",NA,"Did Not Participate In Practice",2023-09-08 18:50:25
2023,"REG","ARI",1,"00-0035662","WR","Marquise Brown","Marquise","Brown","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-09-08 18:50:02
2023,"REG","ARI",1,"00-0030061","TE","Zach Ertz","Zach","Ertz","Knee",NA,"Questionable","Knee",NA,"Limited Participation in Practice",2023-09-08 18:50:02
2023,"REG","ATL",1,"00-0033858","TE","Jonnu Smith","Jonnu","Smith",NA,NA,NA,"Not injury related - resting player",NA,"Did Not Participate In Practice",2023-09-06 20:54:47
2023,"REG","ATL",1,"00-0036274","CB","Jeff Okudah","Jeff","Okudah","Foot",NA,"Out","Foot",NA,"Did Not Participate In Practice",2023-09-08 17:42:34
2023,"REG","ATL",1,"00-0034854","WR","KhaDarel Hodge","KhaDarel","Hodge","Ankle",NA,"Questionable","Ankle",NA,"Full Participation in Practice",2023-09-08 17:43:18
2023,"REG","ATL",1,"00-0030578","RB","Cordarrelle Patterson","Cordarrelle","Patterson","Thigh",NA,"Questionable","Thigh",NA,"Limited Participation in Practice",2023-09-08 17:42:57
2023,"REG","BAL",1,"00-0031235","WR","Odell Beckham","Odell","Beckham",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-08 19:57:07
2023,"REG","BAL",1,"00-0032965","T","Ronnie Stanley","Ronnie","Stanley",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-08 19:56:55
2023,"REG","BAL",1,"00-0033281","CB","Marlon Humphrey","Marlon","Humphrey","Foot",NA,"Out","Foot",NA,"Did Not Participate In Practice",2023-09-08 19:57:41
2023,"REG","BAL",1,"00-0034753","TE","Mark Andrews","Mark","Andrews","Quadricep",NA,"Questionable","Quadricep",NA,"Limited Participation in Practice",2023-09-08 19:57:27
2023,"REG","BUF",1,"00-0030090","S","Micah Hyde","Micah","Hyde",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-09-09 17:24:16
2023,"REG","CAR",1,"00-0036037","S","Sam Franklin","Sam","Franklin",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-08 16:58:07
2023,"REG","CAR",1,"00-0036955","WR","Terrace Marshall","Terrace","Marshall",NA,NA,NA,"Back",NA,"Full Participation in Practice",2023-09-08 16:58:19
2023,"REG","CAR",1,"00-0036635","WR","Ihmir Smith-Marsette","Ihmir","Smith-Marsette",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-08 16:58:43
2023,"REG","CAR",1,"00-0031795","DT","DeShawn Williams","DeShawn","Williams",NA,NA,NA,"Illness",NA,"Full Participation in Practice",2023-09-08 16:58:33
2023,"REG","CAR",1,"00-0034777","WR","D.J. Chark","D.J.","Chark","Hamstring",NA,"Out","Hamstring",NA,"Limited Participation in Practice",2023-09-08 16:59:01
2023,"REG","CAR",1,"00-0030035","WR","Adam Thielen","Adam","Thielen","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-08 16:59:20
2023,"REG","CHI",1,"00-0038135","S","Jaquan Brisker","Jaquan","Brisker",NA,NA,NA,"Groin",NA,"Full Participation in Practice",2023-09-08 18:13:30
2023,"REG","CHI",1,"00-0035649","G","Nate Davis","Nate","Davis",NA,NA,NA,"Not injury related - personal matter",NA,"Full Participation in Practice",2023-09-08 18:13:45
2023,"REG","CHI",1,"00-0033784","S","Eddie Jackson","Eddie","Jackson",NA,NA,NA,"Ankle",NA,"Full Participation in Practice",2023-09-08 18:13:30
2023,"REG","CHI",1,"00-0024243","TE","Marcedes Lewis","Marcedes","Lewis",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2023-09-08 18:13:52
2023,"REG","CHI",1,"00-0033782","DE","DeMarcus Walker","DeMarcus","Walker",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-08 18:13:30
2023,"REG","CHI",1,"00-0033757","TE","Robert Tonyan","Robert","Tonyan","Back",NA,"Questionable",NA,NA,"
    ",2023-09-09 21:52:37
2023,"REG","CHI",1,"00-0033765","LB","Dylan Cole","Dylan","Cole","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-09-08 18:14:10
2023,"REG","CIN",1,"00-0033009","WR","Tyler Boyd","Tyler","Boyd",NA,NA,NA,"Toe",NA,"Full Participation in Practice",2023-09-08 18:25:09
2023,"REG","CIN",1,"00-0036442","QB","Joe Burrow","Joe","Burrow",NA,NA,NA,"Calf",NA,"Full Participation in Practice",2023-09-08 18:25:09
2023,"REG","CIN",1,"00-0036852","G","D'Ante Smith","D'Ante","Smith",NA,NA,NA,"Shoulder",NA,"Full Participation in Practice",2023-09-08 18:25:09
2023,"REG","CIN",1,"00-0033548","CB","Chidobe Awuzie","Chidobe","Awuzie",NA,NA,NA,"Not injury related - resting player",NA,"Limited Participation in Practice",2023-09-08 18:25:28
2023,"REG","CIN",1,"00-0036902","DE","Joseph Ossai","Joseph","Ossai","Ankle",NA,"Out","Ankle",NA,"Did Not Participate In Practice",2023-09-08 18:25:40
2023,"REG","CLE",1,"00-0031426","G","Joel Bitonio","Joel","Bitonio",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2023-09-08 18:52:17
2023,"REG","CLE",1,"00-0033057","T","Jack Conklin","Jack","Conklin",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2023-09-08 19:35:34
2023,"REG","CLE",1,"00-0031544","WR","Amari Cooper","Amari","Cooper",NA,NA,NA,"Not injury related - resting player",NA,"Full Participation in Practice",2023-09-08 18:52:17
2023,"REG","CLE",1,"00-0034856","CB","Denzel Ward","Denzel","Ward",NA,NA,NA,"Concussion",NA,"Full Participation in Practice",2023-09-08 18:52:48
2023,"REG","CLE",1,"00-0037251","DE","Alex Wright","Alex","Wright",NA,NA,NA,"Knee",NA,"Full Participation in Practice",2023-09-08 19:33:42
2023,"REG","CLE",1,"00-0030068","WR","Marquise Goodwin","Marquise","Goodwin",NA,NA,NA,"Illness",NA,"Limited Participation in Practice",2023-09-08 18:52:17
2023,"REG","CLE",1,"00-0035625","S","Juan Thornhill","Juan","Thornhill","Calf",NA,"Questionable","Calf",NA,"Did Not Participate In Practice",2023-09-08 18:53:12
2023,"REG","DAL",1,"00-0033928","CB","Jourdan Lewis","Jourdan","Lewis",NA,NA,NA,"Foot",NA,"Full Participation in Practice",2023-09-08 19:27:16
2023,"REG","DAL",1,"00-0037243","T","Tyler Smith","Tyler","Smith","Hamstring",NA,"Doubtful","Hamstring",NA,"Did Not Participate In Practice",2023-09-08 19:36:26
2023,"REG","DAL",1,"00-0035301","S","Donovan Wilson","Donovan","Wilson","Calf",NA,"Doubtful","Calf",NA,"Did Not Participate In Practice",2023-09-08 19:37:03
2023,"REG","DAL",1,"00-0033877","S","Malik Hooker","Malik","Hooker","Illness",NA,"Questionable",NA,NA,"
    ",2023-09-09 21:53:23
2023,"REG","DAL",1,"00-0037665","DE","Sam Williams","Sam","Williams","Foot",NA,"Questionable","Foot",NA,"Full Participation in Practice",2023-09-08 19:35:58
2023,"REG","DAL",1,"00-0027947","T","Tyron Smith","Tyron","Smith","Ankle",NA,"Questionable","Ankle",NA,"Limited Participation in Practice",2023-09-08 19:35:58
2023,"REG","DEN",1,"00-0037252","TE","Greg Dulcich","Greg","Dulcich",NA,NA,NA,"Not injury related - personal matter",NA,"Full Participation in Practice",2023-09-08 20:13:48
2023,"REG","DEN",1,"00-0031484","TE","Chris Manhertz","Chris","Manhertz",NA,NA,NA,"Chest",NA,"Full Participation in Practice",2023-09-08 20:13:48
2023,"REG","DEN",1,"00-0036874","CB","Patrick Surtain","Patrick","Surtain",NA,NA,NA,"Ankle",NA,"Limited Participation in Practice",2023-09-08 20:14:27
2023,"REG","DEN",1,"00-0036407","WR","Jerry Jeudy","Jerry","Jeudy","Hamstring",NA,"Questionable","Hamstring",NA,"Limited Participation in Practice",2023-09-08 20:14:00
2023,"REG","DEN",1,"00-0038552","CB","Riley Moss","Riley","Moss","Abdomen",NA,"Questionable","Abdomen",NA,"Limited Participation in Practice",2023-09-08 20:14:00
